Harga,Lokasi,LT,LB,Kamar,Kamar Mandi,Carport
"Rp 3,7 Miliar","Grand Wisata, Bekasi",175 m²,160 m²,6,5,1
"Rp 1,44 Miliar","Jatibening, Bekasi",108 m²,120 m²,3,2,
Rp 680 Juta,"Summarecon Bekasi, Bekasi",60 m²,50 m²,2,1,
Rp 700 Juta,"Summarecon Bekasi, Bekasi",60 m²,45 m²,3,1,
Rp 700 Juta,"Bekasi, Bekasi",57 m²,70 m²,3,2,
Rp 800 Juta,"Jatibening, Bekasi",65 m²,58 m²,2,2,
Rp 390 Juta,"Summarecon Bekasi, Bekasi",60 m²,40 m²,2,1,
Rp 440 Juta,"Summarecon Bekasi, Bekasi",60 m²,50 m²,2,1,
Rp 830 Juta,"Summarecon Bekasi, Bekasi",60 m²,60 m²,3,3,
Rp 542 Juta,"Jati Asih, Bekasi",67 m²,47 m²,2,1,
Rp 650 Juta,"Summarecon Bekasi, Bekasi",60 m²,48 m²,2,1,
Rp 580 Juta,"Summarecon Bekasi, Bekasi",60 m²,80 m²,3,2,
Rp 850 Juta,"Summarecon Bekasi, Bekasi",72 m²,60 m²,3,1,
Rp 610 Juta,"Summarecon Bekasi, Bekasi",60 m²,45 m²,2,1,
Rp 650 Juta,"Summarecon Bekasi, Bekasi",66 m²,50 m²,2,1,
Rp 630 Juta,"Summarecon Bekasi, Bekasi",72 m²,50 m²,3,1,
Rp 980 Juta,"Summarecon Bekasi, Bekasi",70 m²,65 m²,3,2,
Rp 840 Juta,"Summarecon Bekasi, Bekasi",66 m²,50 m²,2,1,
Rp 680 Juta,"Summarecon Bekasi, Bekasi",60 m²,42 m²,2,1,
Rp 660 Juta,"Summarecon Bekasi, Bekasi",67 m²,45 m²,2,1,
Rp 520 Juta,"Bekasi, Bekasi",65 m²,48 m²,2,1,
Rp 440 Juta,"Summarecon Bekasi, Bekasi",60 m²,45 m²,2,1,
"Rp 1,39 Miliar","Jati Asih, Bekasi",126 m²,150 m²,3,2,
Rp 680 Juta,"Summarecon Bekasi, Bekasi",60 m²,45 m²,2,1,
"Rp 1,77 Miliar","Jatibening, Bekasi",175 m²,150 m²,4,3,
Rp 850 Juta,"Bekasi, Bekasi",72 m²,60 m²,3,1,
Rp 1 Miliar,"Bekasi, Bekasi",125 m²,95 m²,2,3,
Rp 500 Juta,"Bekasi, Bekasi",60 m²,60 m²,2,1,
"Rp 1,25 Miliar","Jatibening, Bekasi",95 m²,85 m²,3,2,2
Rp 720 Juta,"Bekasi, Bekasi",90 m²,50 m²,3,1,
